FY,Department,Division,Month,Category,Category_Group,Perm_Budget,Current_Budget,Expenditure,Balance,Date,Fiscal_Month,Month_Name
FY24,Application Services,Application Services,a/o 6/30/24,Hourly Wages,Salaries,18794,18794,4455,14339,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Bonus,Bonus/OT/VSDP,0,0,3500,-3500,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,9524,9524,594,8930,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Fringes,Fringes,572631,572631,569982.48,2648.5200000000186,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Supplies/Postage,Supplies & Printing,17960,17960,14.060000000000002,17945.94,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,13090,13090,4886.56,8203.439999999999,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Training/Travel,Training & Travel,21967,21967,15556.71,6410.290000000001,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Maintenance,Software & Maintenance,253200,253200,361866.5,-108666.5,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Internal/Recovery,Recoveries & Revenue,0,0,-2705.85,2705.85,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,IT Salaries,Salaries,809766,809766,778252.12,31513.880000000005,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,0,0,96,-96,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Bonus,Bonus/OT/VSDP,0,0,3000,-3000,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Fringe,Fringes,291228,291228,309180.12,-17952.119999999995,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Contractual/Other,Bonus/OT/VSDP,0,0,13197.77,-13197.77,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Supplies/Printing,Supplies & Printing,5000,5000,640.14,4359.86,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,2000,2000,1441.48,558.52,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,8000,8000,4420.410000000001,3579.5899999999992,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Software /Maintenance,Software & Maintenance,454154,454154,408963.29000000004,45190.70999999996,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,RamTech/Equipment,Equipment & Hardware,4000,4000,14556.82,-10556.82,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,IT/Univ. Salaries,Salaries,619946,619946,575738.45,44207.55000000005,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,VSDP,Bonus/OT/VSDP,0,0,9914.37,-9914.37,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Fringes,Fringes,217392,217392,230646.32,-13254.320000000007,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Supplies/Shipping,Supplies & Printing,2800,2800,1599.28,1200.72,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Fuel/Printing,Supplies & Printing,0,0,181.32,-181.32,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,2520,2520,4180.02,-1660.0200000000004,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Services/Leases,Other,0,0,3475.13,-3475.13,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Training/Travel,Training & Travel,4025,4025,10144.619999999999,-6119.619999999999,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,University/Parking/Electrical,Other,0,0,2381.13,-2381.13,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Equipment/Repair,Equipment & Hardware,5600,5600,6407.93,-807.9300000000003,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Recoveries/Project Mgt Fees,Recoveries & Revenue,-169000,-169000,-274501.76,105501.76000000001,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Salaries,Salaries,223626.4,223626.4,295800.48,-72174.07999999999,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Bonuses/On Call/OT,Bonus/OT/VSDP,1167,1167,2618,-1451,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Hourly/Student Wages,Salaries,0,0,51036.62,-51036.62,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Fringe Part-time,Fringes,0,0,2629.05,-2629.05,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Fringes,Fringes,72256,72256,117352.83,-45096.83,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Equipment lease/Printing,Supplies & Printing,0,0,590.87,-590.87,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Internal charge/Recovery,Recoveries & Revenue,0,0,-184475,184475,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,1867,1867,2927.2799999999997,-1060.2799999999997,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,University/FMD,Other,0,0,1360.08,-1360.08,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,1880,1880,1437.6,442.4000000000001,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Hardware/Software/Maint,Software & Maintenance,3733,3733,6150.19,-2417.1899999999996,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Salaries,Salaries,387443.2,265640.80000000005,362268.99,-96628.18999999994,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Bonuses/OT/VSDP,Bonus/OT/VSDP,2917,2917,3000,-83,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Student/Hourly Wages,Salaries,110000,110000,76353.51,33646.490000000005,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Hourly Fringe,Salaries,8622,8622,943.67,7678.33,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Fringes,Fringes,145629,145629,143082.28,2546.720000000001,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Contractual/Express Serv,Contractual & Services,0,44708,65.64,44642.36,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Technical/Printing,Supplies & Printing,0,0,92.66,-92.66,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Clothing/Supplies/Postage,Supplies & Printing,4667,4667,4108.32,558.6800000000003,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Training/Travel,Training & Travel,6708,6708,2167.2200000000003,4540.78,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Univ/FMD/Fuel/Install,Other,0,0,17207.84,-17207.84,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,4760,4760,5251.96,-491.96000000000004,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Hardware/Software,Software & Maintenance,9333,9333,7383.780000000001,1949.2199999999993,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Audio Equipment /Lease,Equipment & Hardware,0,0,26521.979999999996,-26521.979999999996,2024-06-30,12,Jun
FY24,Media Support Services,Academic Technology,a/o 6/30/24,Recoveries/ Internal,Recoveries & Revenue,-30000,-30000,-105575,75575,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,IT Salaries,Salaries,162840.2,162840.2,161813.52,1026.6800000000221,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Fringe,Fringes,54881,54881,64076.04,-9195.04,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Contractual/Printing,Supplies & Printing,6954,6954,44.04,6909.96,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Telecomm,Telecomm & Network,0,0,1299.45,-1299.45,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,RamTech/Software,Software & Maintenance,0,0,370,-370,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,IT/Univ. Salaries,Salaries,494767.2,494767.2,540440.18,-45672.98000000004,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,OnCall/OT,Bonus/OT/VSDP,3333.4,3333.4,448,2885.4,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Fringe,Fringes,168588,168588,209401.50999999998,-40813.50999999998,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Recoveries,Recoveries & Revenue,0,0,-77768.52,77768.52,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Supplies/Printing,Supplies & Printing,2000,2000,118.74,1881.26,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Telecomm,Telecomm & Network,2280,2280,1749.4499999999998,530.5500000000002,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Travel/Training,Training & Travel,2875,2875,5002.01,-2127.01,2024-06-30,12,Jun
FY24,Academic Technologies,Academic Technology,a/o 6/30/24,Software Maintenance,Software & Maintenance,732941.96,732941.96,752775.25,-19833.290000000037,2024-06-30,12,Jun
