Department,Vendor,Product,Annual_Cost,Renewal_Date,Funding_Source,Status,Days_Until_Expiry
Central Maintenance,Ivy.ai,Conversational AI Chatbots,10500,2025-11-30,1-46029,Expired,-279
Central Maintenance,LabStats,LabStats Cloud Based Licenses Subscription,5880,2026-01-20,1-38124,Expired,-228
Central Maintenance,LabStats,Addn'l 500 Cloud Based Licenses ,2128.77,2026-01-20,1-38124,Expired,-228
Central Maintenance,LinkedIN,LinkedIN Learning Full Campus,425790,2027-10-18,1-38124,Active,408
Central Maintenance,TimeClock Plus,TimeClock Plus Cloud Solution,202065.52,2027-08-25,1-38124,Active,354
Central Maintenance,TimeClock Plus,Hardward Maintenance for TimeClocks,9060.53,2026-12-27,1-38124,Active,113
Central Maintenance,Qualtrics,University Wide Cloud License,288371.41,2027-09-30,1-38124,Active,390
Central Maintenance,QuestionPro,University Enterprise License,16000,2027-05-31,1-38124,Active,268
Central Maintenance,Mazevo,Room Scheduling System,58796,,1-38124,Unknown,
Central Maintenance,JMP,SAS JMP,2500,2025-04-28,1-38124,Expired,-495
Central Maintenance,SHI,Tableau Renewal,64836.18,0223-04-17,1-38124,Expired,-658674
Central Maintenance,SHI,Tableau for SEMSS Renewal,25266.63,2023-04-17,1-38124,Expired,-1237
Central Maintenance,SHI,CoPilot for M365 & CoPilot Studio,3686.9,,1-38124,Unknown,
Central Maintenance,SHI,Grammarly for Education,25420,2026-10-31,1-38124,Expiring Soon,56
Central Maintenance,Smartsheet,Smartsheet Renewal,655160,2027-12-19,1-38124,Active,470
Central Maintenance,Starnet,Fast-X Win Site License,1850,2027-02-28,1-38124,Active,176
Central Maintenance,Statistical Solutions,nQuery Campus License,6692.57,2027-05-31,1-38124,Active,268
Central Maintenance,Grafit,SigmaPlot Maintenance,1078,2026-11-30,1-38124,Expiring Soon,86
Central Maintenance,Wiris,MathType,2772.8,2026-12-10,1-38124,Active,96
Central Maintenance,Incommon,Participation Service Level 1,12000,2024-12-31,1-38124,Expired,-613
Central Maintenance,Wolfram,Site License (Mathematica),87413.66,2029-07-31,1-38124,Active,1060
