FY,Department,Division,Month,Category,Category_Group,Perm_Budget,Current_Budget,Expenditure,Balance,Date,Fiscal_Month,Month_Name
FY24,Central Services,Central Services,a/o 11/30/23,Supplies/Postage,Supplies & Printing,6000,6000,381.54,5618.46,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Supplies/Postage,Supplies & Printing,6000,6000,1436.6599999999999,5561.34,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Supplies/Postage,Supplies & Printing,6000,6000,438.65999999999997,5561.34,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Supplies/Postage,Supplies & Printing,6000,6000,487.65999999999997,5512.34,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Supplies/Postage,Supplies & Printing,6000,6000,438.65999999999997,5561.34,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Supplies/Postage,Supplies & Printing,6000,6000,749.15,5250.85,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Supplies/Postage,Supplies & Printing,6000,6000,756.3100000000001,5243.69,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Supplies/Postage,Supplies & Printing,6000,6000,756.3100000000001,5243.69,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 7/31/23,Telecomm,Telecomm & Network,2771,2771,196.79000000000002,2574.21,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Telecomm,Telecomm & Network,2291,2291,361.53999999999996,1929.46,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Telecomm,Telecomm & Network,2291,2291,526.74,1764.26,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Telecomm,Telecomm & Network,2291,2291,692.5,1598.5,2023-10-31,4,Oct
FY24,Central Services,Central Services,a/o 11/30/23,Telecomm,Telecomm & Network,2291,2291,925.14,1365.8600000000001,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Telecomm,Telecomm & Network,2291,2291,1060.75,1230.25,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Telecomm,Telecomm & Network,2291,2291,1196,1095,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Telecomm,Telecomm & Network,2291,2291,1331.19,959.81,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Telecomm,Telecomm & Network,2291,2291,1469.34,821.6600000000001,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Telecomm,Telecomm & Network,2291,2291,1604.99,686.01,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Telecomm,Telecomm & Network,2291,2291,1766.1399999999999,524.8600000000001,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,2291,2291,1926.96,364.03999999999996,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 4/30/24,Hardware/Software/RamTech,Software & Maintenance,5061,5061,1997,3064,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Hardware/Software/RamTech,Software & Maintenance,5061,5061,2691.11,2369.89,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Hardware/Software/RamTech,Software & Maintenance,5061,5061,2691.11,2369.89,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Skilled Services/Internal,Contractual & Services,60629,60629,209512.65,-148883.65,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Tele Wireless/Data,Telecomm & Network,0,0,319.92,-319.92,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Tele Wireless/Data,Telecomm & Network,0,0,319.92,-319.92,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Tele Wireless/Data,Telecomm & Network,0,0,959.76,-959.76,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Tele Wireless/Data,Telecomm & Network,0,0,1279.68,-1279.68,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Tele Wireless/Data,Telecomm & Network,0,0,1599.6,-1599.6,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Tele Wireless/Data,Telecomm & Network,0,0,2239.44,-2239.44,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Tele Wireless/Data,Telecomm & Network,0,0,2559.36,-2559.36,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Tele Wireless/Data,Telecomm & Network,0,0,2565.66,-2565.66,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Tele Wireless/Data,Telecomm & Network,0,0,2645.64,-2645.64,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Tele Wireless/Data,Telecomm & Network,0,0,2725.62,-2725.62,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Tele Wireless/Data,Telecomm & Network,0,0,2725.62,-2725.62,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Tele Wireless/Data,Telecomm & Network,0,0,2805.6,-2805.6,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 3/31/24,Travel/Training,Training & Travel,2875,2875,5700,-40479.95,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Travel/Training,Training & Travel,2875,2875,38439.24,-43709.59,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Travel/Training,Training & Travel,2875,2875,38953.270000000004,-44223.62,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,2875,2875,38953.270000000004,-36078.270000000004,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 5/31/24,Supplies/Shipping/Printing,Supplies & Printing,4000,4000,16903.23,-12903.23,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Supplies/Shipping/Printing,Supplies & Printing,4000,4000,4566.83,-566.8299999999999,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Telecomm,Telecomm & Network,0,0,6.75,-6.75,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Telecomm,Telecomm & Network,0,0,13.5,-13.5,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Telecomm,Telecomm & Network,0,0,20.25,-20.25,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Telecomm,Telecomm & Network,0,0,27,-27,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Telecomm,Telecomm & Network,0,0,33.75,-33.75,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Telecomm,Telecomm & Network,0,0,40.5,-40.5,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Telecomm,Telecomm & Network,0,0,47.25,-47.25,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Telecomm,Telecomm & Network,0,0,54,-54,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Telecomm,Telecomm & Network,0,0,60.75,-60.75,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Telecomm,Telecomm & Network,0,0,67.5,-67.5,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Telecomm,Telecomm & Network,0,0,74.25,-74.25,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,0,0,81,-81,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 8/31/23,Software Dev. /Maintenance,Software & Maintenance,0,0,1055.76,-1055.76,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Software Dev. /Maintenance,Software & Maintenance,0,0,37193.03,-37193.03,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Software Dev. /Maintenance,Software & Maintenance,0,0,38236.22,-38236.22,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Software Dev. /Maintenance,Software & Maintenance,0,0,39273.909999999996,-39273.909999999996,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Software Dev. /Maintenance,Software & Maintenance,0,0,40312.78999999999,-40312.78999999999,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Software Dev. /Maintenance,Software & Maintenance,0,0,40312.78999999999,-40312.78999999999,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Software Dev. /Maintenance,Software & Maintenance,0,0,42387.020000000004,-46555.020000000004,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Software Dev. /Maintenance,Software & Maintenance,0,0,43431.130000000005,-47599.130000000005,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Software Dev. /Maintenance,Software & Maintenance,0,0,44486.850000000006,-48654.850000000006,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Software Dev. /Maintenance,Software & Maintenance,0,0,44486.850000000006,-48654.850000000006,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Software Dev. /Maintenance,Software & Maintenance,0,0,45537.22,-45537.22,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Hourly,Salaries,0,0,4291.34,-4291.34,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Hourly,Salaries,0,0,5778.1,-5778.1,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Hourly,Salaries,0,0,6910.07,-6910.07,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Hourly,Salaries,0,0,6910.07,-6910.07,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Hourly,Salaries,0,0,6910.07,-6910.07,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Hourly,Salaries,0,0,6910.07,-6910.07,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Hourly Fringe,Salaries,0,0,364.76,-364.76,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Hourly Fringe,Salaries,0,0,488.26,-488.26,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Hourly Fringe,Salaries,0,0,578.82,-578.82,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Hourly Fringe,Salaries,0,0,578.82,-578.82,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Hourly Fringe,Salaries,0,0,578.82,-578.82,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Hourly Fringe,Salaries,0,0,578.82,-578.82,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,IT/ University Salaries,Salaries,405351,405351,31352.58,29120.03999999998,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,IT/ University Salaries,Salaries,405351,405351,62705.16,29120.040000000037,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,IT/ University Salaries,Salaries,405351,405351,109734.03,29120.040000000037,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,IT/ University Salaries,Salaries,405351,405351,125410.32,29120.03999999998,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,IT/ University Salaries,Salaries,405351,405351,156762.9,29120.040000000037,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,IT/ University Salaries,Salaries,405351,405351,188115.48,25357.559999999998,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,IT/ University Salaries,Salaries,410607,410607,220095.14,30613.559999999998,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,IT/ University Salaries,Salaries,410607,410607,252074.8,30613.559999999998,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,IT/ University Salaries,Salaries,410607,410607,300044.29,30613.560000000056,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,IT/ University Salaries,Salaries,410607,410607,316034.12,30613.559999999998,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,IT/ University Salaries,Salaries,410607,410607,364003.61,30613.559999999998,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,IT/ University Salaries,Salaries,410607,410607,379993.44,30613.559999999998,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Fringes,Fringes,206676,206676,12572.39,55807.37961999996,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Fringes,Fringes,206676,206676,25082.08,57124.177399999986,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Fringes,Fringes,204211,204211,43752.54,54659.178790000005,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Fringes,Fringes,204211,204211,49976.03,54659.17592000001,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Fringes,Fringes,204211,204211,62423,54659.180179999996,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Fringes,Fringes,204211,204211,74869.97,53165.47988,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Fringes,Fringes,204211,204211,87565.89,53165.48490000001,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Fringes,Fringes,204211,204211,100261.82,53165.47991999998,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Fringes,Fringes,204211,204211,119167.54000000001,53303.64744999999,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Fringes,Fringes,204211,204211,125515.5,53303.64996000001,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Fringes,Fringes,204211,204211,144559.37999999998,53303.65749000001,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Fringes,Fringes,204211,204211,150907.34999999998,53303.65000000002,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 9/30/23,Memberships/Publications,Training & Travel,0,0,87103.27,-87103.27,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Memberships/Publications,Training & Travel,0,0,87103.27,-87103.27,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Memberships/Publications,Training & Travel,0,0,87103.27,-87103.27,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Memberships/Publications,Training & Travel,0,0,87103.27,-87103.27,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Memberships/Publications,Training & Travel,0,0,87103.27,-120103.27,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 9/30/23,Travel/Training,Training & Travel,5244,5244,1595,3649,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Travel/Training,Training & Travel,5244,5244,1595,3649,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Travel/Training,Training & Travel,5244,5244,1595,3649,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Travel/Training,Training & Travel,5244,5244,1595,3649,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Printing,Supplies & Printing,0,0,3.05,-3.05,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Printing,Supplies & Printing,0,0,17.92,-17.92,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Printing,Supplies & Printing,0,0,18.67,-18.67,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Printing,Supplies & Printing,0,0,19.61,-19.61,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Printing,Supplies & Printing,0,0,24.04,-24.04,2023-11-30,5,Nov
FY24,Technology Services,Central Services,a/o 12/31/23,Printing,Supplies & Printing,0,0,24.04,-24.04,2023-12-31,6,Dec
FY24,Technology Services,Central Services,a/o 1/31/24,Printing,Supplies & Printing,0,0,25.02,-25.02,2024-01-31,7,Jan
FY24,Technology Services,Central Services,a/o 2/29/24,Printing,Supplies & Printing,0,0,26.85,-26.85,2024-02-29,8,Feb
FY24,Technology Services,Central Services,a/o 3/31/24,Printing,Supplies & Printing,0,0,27.1,-27.1,2024-03-31,9,Mar
FY24,Technology Services,Central Services,a/o 4/30/24,Printing,Supplies & Printing,0,0,28.38,-28.38,2024-04-30,10,Apr
FY24,Technology Services,Central Services,a/o 5/31/24,Printing,Supplies & Printing,0,0,33.35,-33.35,2024-05-31,11,May
FY24,Technology Services,Central Services,a/o 6/30/24,Printing,Supplies & Printing,0,0,39.71,-39.71,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 7/31/23,Supplies/Postage,Supplies & Printing,2510,2510,60,2450,2023-07-31,1,Jul
FY24,Technology Services,Central Services,a/o 8/31/23,Supplies/Postage,Supplies & Printing,2510,2510,120,2390,2023-08-31,2,Aug
FY24,Technology Services,Central Services,a/o 9/30/23,Supplies/Postage,Supplies & Printing,2510,2510,180,2330,2023-09-30,3,Sep
FY24,Technology Services,Central Services,a/o 10/31/23,Supplies/Postage,Supplies & Printing,2510,2510,180,2330,2023-10-31,4,Oct
FY24,Technology Services,Central Services,a/o 11/30/23,Supplies/Postage,Supplies & Printing,2510,2510,300,2210,2023-11-30,5,Nov
